timestamp,localized,red,ir
1684206051590,2023-05-15T20:00:51.590(UTC-07:00),28466,303353
1684206051612,2023-05-15T20:00:51.612(UTC-07:00),28467,303356
1684206051634,2023-05-15T20:00:51.634(UTC-07:00),28469,303359
1684206051656,2023-05-15T20:00:51.656(UTC-07:00),28470,303362
1684206051678,2023-05-15T20:00:51.678(UTC-07:00),28471,303365
1684206051700,2023-05-15T20:00:51.700(UTC-07:00),28472,303367
1684206051722,2023-05-15T20:00:51.722(UTC-07:00),28473,303369
1684206051744,2023-05-15T20:00:51.744(UTC-07:00),28474,303370
1684206051766,2023-05-15T20:00:51.766(UTC-07:00),28475,303373
1684206051788,2023-05-15T20:00:51.788(UTC-07:00),28477,303377
1684206051810,2023-05-15T20:00:51.810(UTC-07:00),28479,303382
1684206051832,2023-05-15T20:00:51.832(UTC-07:00),28481,303387
1684206051854,2023-05-15T20:00:51.854(UTC-07:00),28483,303391
1684206051876,2023-05-15T20:00:51.876(UTC-07:00),28485,303395
1684206051898,2023-05-15T20:00:51.898(UTC-07:00),28487,303398
1684206051920,2023-05-15T20:00:51.920(UTC-07:00),28488,303401
1684206051942,2023-05-15T20:00:51.942(UTC-07:00),28490,303404
1684206051964,2023-05-15T20:00:51.964(UTC-07:00),28491,303408
1684206051986,2023-05-15T20:00:51.986(UTC-07:00),28493,303411
1684206052008,2023-05-15T20:00:52.008(UTC-07:00),28494,303415
1684206052030,2023-05-15T20:00:52.030(UTC-07:00),28496,303418
1684206052052,2023-05-15T20:00:52.052(UTC-07:00),28498,303421
1684206052074,2023-05-15T20:00:52.074(UTC-07:00),28500,303424
1684206052096,2023-05-15T20:00:52.096(UTC-07:00),28503,303427
1684206052118,2023-05-15T20:00:52.118(UTC-07:00),28505,303430
1684206052140,2023-05-15T20:00:52.140(UTC-07:00),28506,303432
1684206052162,2023-05-15T20:00:52.162(UTC-07:00),28506,303431
1684206052184,2023-05-15T20:00:52.184(UTC-07:00),28505,303427
1684206052206,2023-05-15T20:00:52.206(UTC-07:00),28502,303420
1684206052228,2023-05-15T20:00:52.228(UTC-07:00),28499,303411
1684206052250,2023-05-15T20:00:52.250(UTC-07:00),28495,303401
1684206052272,2023-05-15T20:00:52.272(UTC-07:00),28491,303392
1684206052295,2023-05-15T20:00:52.295(UTC-07:00),28487,303384
1684206052313,2023-05-15T20:00:52.313(UTC-07:00),28483,303377
1684206052332,2023-05-15T20:00:52.332(UTC-07:00),28481,303372
1684206052351,2023-05-15T20:00:52.351(UTC-07:00),28479,303368
1684206052370,2023-05-15T20:00:52.370(UTC-07:00),28478,303365
1684206052388,2023-05-15T20:00:52.388(UTC-07:00),28478,303363
1684206052407,2023-05-15T20:00:52.407(UTC-07:00),28477,303362
1684206052426,2023-05-15T20:00:52.426(UTC-07:00),28478,303361
1684206052445,2023-05-15T20:00:52.445(UTC-07:00),28479,303362
1684206052463,2023-05-15T20:00:52.463(UTC-07:00),28480,303364
1684206052482,2023-05-15T20:00:52.482(UTC-07:00),28481,303367
1684206052501,2023-05-15T20:00:52.501(UTC-07:00),28481,303369
1684206052520,2023-05-15T20:00:52.520(UTC-07:00),28481,303371
1684206052538,2023-05-15T20:00:52.538(UTC-07:00),28481,303372
1684206052557,2023-05-15T20:00:52.557(UTC-07:00),28481,303372
1684206052576,2023-05-15T20:00:52.576(UTC-07:00),28481,303372
1684206052595,2023-05-15T20:00:52.595(UTC-07:00),28481,303372
1684206052613,2023-05-15T20:00:52.613(UTC-07:00),28481,303373
1684206052632,2023-05-15T20:00:52.632(UTC-07:00),28481,303374
1684206052651,2023-05-15T20:00:52.651(UTC-07:00),28482,303377
1684206052670,2023-05-15T20:00:52.670(UTC-07:00),28483,303380
1684206052688,2023-05-15T20:00:52.688(UTC-07:00),28485,303383
1684206052707,2023-05-15T20:00:52.707(UTC-07:00),28486,303386
1684206052726,2023-05-15T20:00:52.726(UTC-07:00),28487,303389
1684206052745,2023-05-15T20:00:52.745(UTC-07:00),28488,303393
1684206052763,2023-05-15T20:00:52.763(UTC-07:00),28489,303396
1684206052782,2023-05-15T20:00:52.782(UTC-07:00),28491,303399
1684206052801,2023-05-15T20:00:52.801(UTC-07:00),28492,303402
1684206052820,2023-05-15T20:00:52.820(UTC-07:00),28494,303405
1684206052838,2023-05-15T20:00:52.838(UTC-07:00),28495,303408
1684206052857,2023-05-15T20:00:52.857(UTC-07:00),28497,303412
1684206052876,2023-05-15T20:00:52.876(UTC-07:00),28499,303416
1684206052895,2023-05-15T20:00:52.895(UTC-07:00),28501,303420
1684206052914,2023-05-15T20:00:52.914(UTC-07:00),28503,303424
1684206052933,2023-05-15T20:00:52.933(UTC-07:00),28505,303428
